id,t_average_vmaf
8063,99.542776
4484,70.107479
3080,69.484995
6330,98.02391
7154,45.316052
2682,96.031695
4588,11.298003999999999
3616,61.51543
3376,84.44360999999999
9355,60.571273
218,8.559467999999999
4994,93.346858
5425,77.924189
6651,85.12123199999999
2543,35.37912
3078,97.192577
1244,0.610112
420,86.948813
7181,81.886329
6478,78.697029
2058,97.566703
9824,59.730183999999994
6690,20.076912
3678,47.898276
7183,98.451216
1166,7.467853
254,78.72075799999999
415,81.388857
5877,91.039609
9477,0.646709
5156,75.833381
9427,67.804964
759,21.803805
1385,4.690507
654,85.36241600000001
1201,87.78214
2413,9.874738
3319,77.179854
5119,71.676668
9000,5.075353
5506,57.119825
3284,90.043879
3044,95.82151400000001
2830,79.739673
7267,98.33399
328,71.69255600000001
9077,12.001176
8578,46.952942
4885,22.690033
2063,21.595523
6830,71.627341
3033,2.551707
8661,36.790263
3579,7.735436999999999
8691,14.684013
7416,1.1981680000000001
1281,60.061862
3019,38.95432
3029,2.395483
3636,21.247822
2636,18.678601999999998
5028,72.650424
8794,54.379078
4908,13.248001
3018,57.144104000000006
2945,5.895845
5653,94.20708
6833,61.223887
4231,92.575464
2663,46.508671
8549,59.852641000000006
1282,69.289091
7832,54.671791000000006
1362,95.267548
4114,16.578960000000002
1437,56.916380000000004
10029,54.179276
6558,97.342547
56,26.35427
4773,86.802456
8749,38.714988
5370,22.884239
1844,48.90568
3297,70.108696
8862,76.970411
5795,77.103243
2880,18.801197
1743,60.233039
9711,3.958304
7483,61.001197
4344,48.594139
10296,72.588996
740,69.388609
6627,1.163184
7693,70.100351
6628,0.6547109999999999
1624,10.324626
524,30.937803000000002
6848,22.4662
4376,93.106402
5640,78.253825
6951,73.197273
3446,93.511235
435,41.326387
5091,38.441645
5215,8.418583
308,3.029557
1565,58.590745999999996
2631,18.573298
5819,60.249306999999995
4605,89.208279
401,41.989861
8756,1.322665
3068,83.519544
881,50.335429
434,58.098397
7407,29.743319
4339,50.859891999999995
7588,9.297794999999999
8674,45.816769
9448,75.920263
10002,42.977965000000005
8396,89.093878
288,51.811367
7569,63.380531999999995
8591,53.491756
2623,59.895666000000006
8308,94.753588
476,83.015724
7298,78.902202
9453,44.893221999999994
8172,43.004317
6938,10.415556
6908,57.846191000000005
737,37.248304
9330,91.23161999999999
3956,16.466675
9912,66.02201
5621,54.035183999999994
5782,44.095003999999996
7389,76.147255
6182,83.64862600000001
9091,96.648371
8567,75.795216
6755,61.583487
6281,65.63816800000001
1839,49.342754
1995,47.960518
2399,4.97024
4615,91.132232
5578,62.611265
4272,8.123503999999999
4336,45.347711
800,82.096179
8080,99.474492
5902,38.016078
1405,96.75620500000001
9908,62.86128299999999
69,4.573673
10007,34.681779999999996
2759,36.877553000000006
3519,88.998131
9595,74.027361
1586,83.462345
4420,33.948572999999996
5803,38.007599
1074,37.194976000000004
7998,73.435239
4337,52.634422
3890,10.731264
9369,27.610578000000004
2603,33.494889
6368,79.790939
1579,92.076532
8118,44.086689
9219,58.651258999999996
3814,2.694249
409,84.799389
3439,95.81553199999999
6274,79.613777
5823,63.872005
5439,45.671877
10156,51.640025
3091,52.100365999999994
2726,6.116696
477,67.391312
1329,49.072540000000004
2283,65.075427
10043,90.427515
4748,3.52425
1777,20.253677
6339,86.087775
751,58.498870999999994
8640,80.69563000000001
4285,5.09225
9840,40.415583000000005
8167,70.914698
6130,68.98037
3911,79.413168
8277,53.896015000000006
5397,85.80425799999999
8916,27.549275
468,95.997262
1545,11.020682
6563,96.411765
2683,82.81028
7490,17.651326
6429,75.988117
1025,45.09261
6981,72.469236
4481,67.144544
5582,81.092058
2354,84.21866
6153,4.070427
3874,40.214093
773,20.510331
6529,63.083532
9105,48.078843
9655,78.47017
8046,10.475367
641,43.596352
10031,92.19750400000001
4100,63.16652
8475,57.586088000000004
5262,92.147932
3402,22.788687
8816,66.360507
1108,75.35768399999999
4657,32.300855
7598,52.128752
1420,76.700355
5198,58.49389
7503,28.631072999999997
8488,96.424981
8435,66.5045
8803,69.240523
5715,85.654324
8210,59.94169
1680,26.897914
6977,68.88374
633,72.069438
2569,18.113492
6202,61.887139000000005
4327,76.809119
2166,39.091609999999996
363,24.934199
9686,51.513272
2825,43.74433
5427,58.948865000000005
6494,89.498049
7906,77.800255
7485,80.82458100000001
3781,33.954184999999995
8577,71.799973
7105,97.986683
3791,53.84258199999999
1172,91.730714
